hotel_name,hotel_url,hotel_price,hotel_rating,hotel_review,LAT,LNG
Grand Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d111788-Reviews-Grand_Wailea-Wailea_Maui_Hawaii.html,626,4.0,8007,20.6836977,-156.4416597
Aston Maui Kaanapali Villas,https://www.tripadvisor.com/Hotel_Review-g60634-d87292-Reviews-Aston_Maui_Kaanapali_Villas-Lahaina_Maui_Hawaii.html,359,4.0,1394,20.9340345,-156.6913483
Napili Sunset Beachfront Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d111830-Reviews-Napili_Sunset_Beachfront_Resort-Lahaina_Maui_Hawaii.html,359,4.5,195,20.9949092,-156.666382
"Fairmont Kea Lani, Maui",https://www.tripadvisor.com/Hotel_Review-g609129-d87399-Reviews-Fairmont_Kea_Lani_Maui-Wailea_Maui_Hawaii.html,819,4.5,5635,20.6755814,-156.4414243
Residence Inn by Marriott Maui Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d8776921-Reviews-Residence_Inn_by_Marriott_Maui_Wailea-Wailea_Maui_Hawaii.html,499,4.5,461,20.6877312,-156.4342937
Mana Kai Maui,https://www.tripadvisor.com/Hotel_Review-g60632-d111817-Reviews-Mana_Kai_Maui-Kihei_Maui_Hawaii.html,811,4.5,693,20.7049213,-156.4466339
The Mauian Hotel on Napili Beach,https://www.tripadvisor.com/Hotel_Review-g60634-d111826-Reviews-The_Mauian_Hotel_on_Napili_Beach-Lahaina_Maui_Hawaii.html,309,4.5,418,20.995457,-156.6652048
Maui Coast Hotel,https://www.tripadvisor.com/Hotel_Review-g60632-d111818-Reviews-Maui_Coast_Hotel-Kihei_Maui_Hawaii.html,520,4.5,2305,20.7237417,-156.4465865
Best Western Pioneer Inn,https://www.tripadvisor.com/Hotel_Review-g60634-d111783-Reviews-Best_Western_Pioneer_Inn-Lahaina_Maui_Hawaii.html,207,4.5,1108,20.8723603,-156.6778851
Kohea Kai Maui,https://www.tripadvisor.com/Hotel_Review-g60632-d10815570-Reviews-Kohea_Kai_Maui-Kihei_Maui_Hawaii.html,275,4.5,148,20.7692554,-156.4582097
Honua Kai Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60634-d1372538-Reviews-Honua_Kai_Resort_Spa-Lahaina_Maui_Hawaii.html,648,4.5,3691,20.9442201,-156.690276
The Ritz-Carlton,https://www.tripadvisor.com/Hotel_Review-g209273-d111843-Reviews-The_Ritz_Carlton-Kapalua_Maui_Hawaii.html,549,4.5,4121,34.0452632,-118.2666205
"Wailea Beach Resort - Marriott, Maui",https://www.tripadvisor.com/Hotel_Review-g609129-d89973-Reviews-Wailea_Beach_Resort_Marriott_Maui-Wailea_Maui_Hawaii.html,749,4.5,1305,20.6878874,-156.4428011
Hotel Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d247776-Reviews-Hotel_Wailea-Wailea_Maui_Hawaii.html,799,4.5,1549,20.6775933,-156.4319242
Northshore Hostel Maui,https://www.tripadvisor.com/Hotel_Review-g60639-d209737-Reviews-Northshore_Hostel_Maui-Wailuku_Maui_Hawaii.html,89,4.5,597,20.8891206,-156.5034724
Lumeria Maui,https://www.tripadvisor.com/Hotel_Review-g60635-d2431959-Reviews-Lumeria_Maui-Makawao_Maui_Hawaii.html,469,4.5,737,20.8867869,-156.3453385
The Westin Ka'anapali Ocean Resort Villas,https://www.tripadvisor.com/Hotel_Review-g60634-d278711-Reviews-The_Westin_Ka_anapali_Ocean_Resort_Villas-Lahaina_Maui_Hawaii.html,369,4.5,5616,20.9378809,-156.6910649
"Marriott's Maui Ocean Club - Molokai, Maui & Lanai Towers",https://www.tripadvisor.com/Hotel_Review-g60634-d87309-Reviews-Marriott_s_Maui_Ocean_Club_Molokai_Maui_Lanai_Towers-Lahaina_Maui_Hawaii.html,671,4.5,2221,20.915844,-156.695292
Napili Shores Maui by Outrigger,https://www.tripadvisor.com/Hotel_Review-g60634-d87315-Reviews-Napili_Shores_Maui_by_Outrigger-Lahaina_Maui_Hawaii.html,259,4.0,781,20.9924811,-156.6670927
Kaleialoha Condominiums,https://www.tripadvisor.com/Hotel_Review-g60634-d101359-Reviews-Kaleialoha_Condominiums-Lahaina_Maui_Hawaii.html,235,4.5,213,20.9579983,-156.6850018
Courtyard by Marriott Maui Kahului Airport,https://www.tripadvisor.com/Hotel_Review-g60631-d2651389-Reviews-Courtyard_by_Marriott_Maui_Kahului_Airport-Kahului_Maui_Hawaii.html,299,4.5,657,20.8883819,-156.4496137
Aston at the Maui Banyan,https://www.tripadvisor.com/Hotel_Review-g60632-d87260-Reviews-Aston_at_the_Maui_Banyan-Kihei_Maui_Hawaii.html,314,4.0,866,20.7155097,-156.4442801
Kahana Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d208983-Reviews-Kahana_Beach_Resort-Lahaina_Maui_Hawaii.html,199,4.0,436,20.9692582,-156.6801284
Four Seasons Resort Maui at Wailea,https://www.tripadvisor.com/Hotel_Review-g609129-d87397-Reviews-Four_Seasons_Resort_Maui_at_Wailea-Wailea_Maui_Hawaii.html,1540,4.5,6361,20.6802316,-156.4421574
Hyatt Place Waikiki Beach,https://www.tripadvisor.com/Hotel_Review-g60982-d87040-Reviews-Hyatt_Place_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,279,4.5,4408,21.2734487,-157.82142
Hotel LaCroix,https://www.tripadvisor.com/Hotel_Review-g60982-d87119-Reviews-Hotel_LaCroix-Honolulu_Oahu_Hawaii.html,159,4.5,771,21.2834044,-157.8311565
Turtle Bay Resort,https://www.tripadvisor.com/Hotel_Review-g60651-d87158-Reviews-Turtle_Bay_Resort-Kahuku_Oahu_Hawaii.html,263,4.5,5925,21.704625,-157.99859
Prince Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d87011-Reviews-Prince_Waikiki-Honolulu_Oahu_Hawaii.html,374,5.0,1621,21.286509,-157.840199
Outrigger Waikiki Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60982-d120684-Reviews-Outrigger_Waikiki_Beach_Resort-Honolulu_Oahu_Hawaii.html,379,4.5,6038,21.2771844,-157.8275909
Queen Kapiolani Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d87095-Reviews-Queen_Kapiolani_Hotel-Honolulu_Oahu_Hawaii.html,259,4.5,692,21.2721098,-157.8209904
Hampton Inn & Suites Oahu/Kapolei,https://www.tripadvisor.com/Hotel_Review-g60654-d10584606-Reviews-Hampton_Inn_Suites_Oahu_Kapolei-Kapolei_Oahu_Hawaii.html,176,4.5,641,21.3310775,-158.0530753
Outrigger Reef Waikiki Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60982-d87052-Reviews-Outrigger_Reef_Waikiki_Beach_Resort-Honolulu_Oahu_Hawaii.html,339,4.5,6883,21.278507,-157.8327139
"Aulani, A Disney Resort & Spa",https://www.tripadvisor.com/Hotel_Review-g60654-d2140201-Reviews-Aulani_A_Disney_Resort_Spa-Kapolei_Oahu_Hawaii.html,836,4.5,6513,21.3393209,-158.1230185
Aston Waikiki Circle Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d86984-Reviews-Aston_Waikiki_Circle_Hotel-Honolulu_Oahu_Hawaii.html,203,4.0,1275,21.2749118,-157.8241351
Hilton Waikiki Beach,https://www.tripadvisor.com/Hotel_Review-g60982-d209422-Reviews-Hilton_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,329,4.0,5414,21.2753958,-157.8219214
Shoreline Hotel Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d2555768-Reviews-Shoreline_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html,159,4.5,2357,21.2798634,-157.8278286
The Imperial Hawaii Resort,https://www.tripadvisor.com/Hotel_Review-g60982-d87025-Reviews-The_Imperial_Hawaii_Resort-Honolulu_Oahu_Hawaii.html,240,4.0,815,21.278654,-157.8312236
Vive Hotel Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d4020497-Reviews-Vive_Hotel_Waikiki-Honolulu_Oahu_Hawaii.html,189,4.5,3747,21.2767953,-157.8233295
Ilikai Hotel & Luxury Suites,https://www.tripadvisor.com/Hotel_Review-g60982-d209424-Reviews-Ilikai_Hotel_Luxury_Suites-Honolulu_Oahu_Hawaii.html,215,4.5,2496,21.2842699,-157.8385483
The New Otani Kaimana Beach Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d86951-Reviews-The_New_Otani_Kaimana_Beach_Hotel-Honolulu_Oahu_Hawaii.html,199,4.0,1116,21.2633647,-157.8211755
Coconut Waikiki Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d86966-Reviews-Coconut_Waikiki_Hotel-Honolulu_Oahu_Hawaii.html,251,4.5,1259,21.2826719,-157.8276142
‘Alohilani Resort Waikiki Beach,https://www.tripadvisor.com/Hotel_Review-g60982-d87111-Reviews-Alohilani_Resort_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,294,4.0,1299,21.2742487,-157.823953
Park Shore Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d214680-Reviews-Park_Shore_Waikiki-Honolulu_Oahu_Hawaii.html,179,4.0,2247,21.2717852,-157.822299
Four Seasons Resort Oahu at Ko Olina,https://www.tripadvisor.com/Hotel_Review-g60654-d8684459-Reviews-Four_Seasons_Resort_Oahu_at_Ko_Olina-Kapolei_Oahu_Hawaii.html,1050,4.5,1738,21.3393551,-158.125548
Marriott Ko Olina Beach Club,https://www.tripadvisor.com/Hotel_Review-g60654-d275980-Reviews-Marriott_Ko_Olina_Beach_Club-Kapolei_Oahu_Hawaii.html,639,4.5,3713,21.3330447,-158.1202393
Paradise Bay Resort Hawaii,https://www.tripadvisor.com/Hotel_Review-g60653-d87212-Reviews-Paradise_Bay_Resort_Hawaii-Kaneohe_Oahu_Hawaii.html,198,4.0,910,21.4603949,-157.8333637
Embassy Suites By Hilton - Waikiki Beach Walk,https://www.tripadvisor.com/Hotel_Review-g60982-d615153-Reviews-Embassy_Suites_By_Hilton_Waikiki_Beach_Walk-Honolulu_Oahu_Hawaii.html,404,4.5,4394,21.2791356,-157.8315683
"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach",https://www.tripadvisor.com/Hotel_Review-g60982-d87102-Reviews-Moana_Surfrider_A_Westin_Resort_Spa_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,459,4.0,6243,21.2765105,-157.826538
Hilton Garden Inn Waikiki Beach,https://www.tripadvisor.com/Hotel_Review-g60982-d87090-Reviews-Hilton_Garden_Inn_Waikiki_Beach-Honolulu_Oahu_Hawaii.html,172,4.0,1533,21.2790107,-157.8249069
Waikiki Beachcomber by Outrigger,https://www.tripadvisor.com/Hotel_Review-g60982-d114031-Reviews-Waikiki_Beachcomber_by_Outrigger-Honolulu_Oahu_Hawaii.html,281,4.5,168,21.278375,-157.827396
Waikiki Resort Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d534764-Reviews-Waikiki_Resort_Hotel-Honolulu_Oahu_Hawaii.html,178,4.0,2147,21.2754827,-157.8237864
Courtyard by Marriott Oahu North Shore,https://www.tripadvisor.com/Hotel_Review-g60656-d7389226-Reviews-Courtyard_by_Marriott_Oahu_North_Shore-Laie_Oahu_Hawaii.html,289,4.0,456,21.6410888,-157.9198715
Embassy Suites by Hilton Oahu Kapolei,https://www.tripadvisor.com/Hotel_Review-g60654-d12438215-Reviews-Embassy_Suites_by_Hilton_Oahu_Kapolei-Kapolei_Oahu_Hawaii.html,504,4.5,272,21.3293557,-158.0750479
Hyatt Regency Waikiki Beach Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60982-d242435-Reviews-Hyatt_Regency_Waikiki_Beach_Resort_Spa-Honolulu_Oahu_Hawaii.html,249,4.0,6808,21.2760834,-157.8253554
Royal Grove Waikiki,https://www.tripadvisor.com/Hotel_Review-g60982-d87097-Reviews-Royal_Grove_Waikiki-Honolulu_Oahu_Hawaii.html,129,4.0,458,21.2762288,-157.8237124
Halekulani Hotel,https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html,620,4.5,2962,21.2780192,-157.8318163
Aqua Oasis,https://www.tripadvisor.com/Hotel_Review-g60982-d86988-Reviews-Aqua_Oasis-Honolulu_Oahu_Hawaii.html,140,4.0,870,41.6604694,-93.69850559999999
The Surfjack Hotel & Swim Club,https://www.tripadvisor.com/Hotel_Review-g60982-d227765-Reviews-The_Surfjack_Hotel_Swim_Club-Honolulu_Oahu_Hawaii.html,222,4.5,1099,21.2819139,-157.8282312
Hilton Grand Vacations at Hilton Hawaiian Village,https://www.tripadvisor.com/Hotel_Review-g60982-d224616-Reviews-Hilton_Grand_Vacations_at_Hilton_Hawaiian_Village-Honolulu_Oahu_Hawaii.html,499,4.0,1828,21.2838894,-157.8368046
The Beach Waikiki Boutique Hostel,https://www.tripadvisor.com/Hotel_Review-g60982-d3686316-Reviews-The_Beach_Waikiki_Boutique_Hostel-Honolulu_Oahu_Hawaii.html,87,4.5,454,21.2723794,-157.8211977
Hokulani Waikiki by Hilton Grand Vacations,https://www.tripadvisor.com/Hotel_Review-g60982-d4604031-Reviews-Hokulani_Waikiki_by_Hilton_Grand_Vacations-Honolulu_Oahu_Hawaii.html,329,4.5,1109,21.2799843,-157.8303167
Hilton Garden Inn Kauai Wailua Bay,https://www.tripadvisor.com/Hotel_Review-g60616-d90147-Reviews-Hilton_Garden_Inn_Kauai_Wailua_Bay-Kapaa_Kauai_Hawaii.html,362,4.0,1379,22.0422873,-159.3370131
Kauai Shores Hotel,https://www.tripadvisor.com/Hotel_Review-g60616-d101363-Reviews-Kauai_Shores_Hotel-Kapaa_Kauai_Hawaii.html,169,4.5,912,22.0523959,-159.3294165
Grand Hyatt Kauai Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60625-d87364-Reviews-Grand_Hyatt_Kauai_Resort_Spa-Poipu_Kauai_Hawaii.html,469,4.5,8260,21.8756296,-159.4394567
"Koloa Landing Resort at Poipu, Autograph Collection",https://www.tripadvisor.com/Hotel_Review-g60625-d1863434-Reviews-Koloa_Landing_Resort_at_Poipu_Autograph_Collection-Poipu_Kauai_Hawaii.html,829,4.5,2553,21.8802823,-159.4658688
Ko'a Kea Hotel & Resort,https://www.tripadvisor.com/Hotel_Review-g60625-d1027174-Reviews-Ko_a_Kea_Hotel_Resort-Poipu_Kauai_Hawaii.html,686,4.5,2629,21.875236,-159.4572584
Aston Islander on the Beach,https://www.tripadvisor.com/Hotel_Review-g60616-d87217-Reviews-Aston_Islander_on_the_Beach-Kapaa_Kauai_Hawaii.html,313,4.0,1950,22.0530717,-159.3283215
Garden Island Inn Hotel,https://www.tripadvisor.com/Hotel_Review-g60623-d101326-Reviews-Garden_Island_Inn_Hotel-Lihue_Kauai_Hawaii.html,195,4.5,1259,21.9590149,-159.3540118
The Kauai Inn,https://www.tripadvisor.com/Hotel_Review-g60623-d87340-Reviews-The_Kauai_Inn-Lihue_Kauai_Hawaii.html,202,4.0,436,21.9510267,-159.3632579
Kaua'i Marriott Resort,https://www.tripadvisor.com/Hotel_Review-g60623-d114035-Reviews-Kaua_i_Marriott_Resort-Lihue_Kauai_Hawaii.html,488,4.0,3235,21.962709,-159.3501978
The Point at Poipu,https://www.tripadvisor.com/Hotel_Review-g60625-d87355-Reviews-The_Point_at_Poipu-Poipu_Kauai_Hawaii.html,466,4.0,1000,21.871319,-159.443624
Waimea Plantation Cottages,https://www.tripadvisor.com/Hotel_Review-g60627-d111678-Reviews-Waimea_Plantation_Cottages-Waimea_Kauai_Hawaii.html,569,4.5,1123,21.958688,-159.675709
Hotel Coral Reef Resort,https://www.tripadvisor.com/Hotel_Review-g60616-d87214-Reviews-Hotel_Coral_Reef_Resort-Kapaa_Kauai_Hawaii.html,169,4.5,469,22.0786305,-159.3147932
Marriott's Kaua'i Beach Club,https://www.tripadvisor.com/Hotel_Review-g60623-d1835074-Reviews-Marriott_s_Kaua_i_Beach_Club-Lihue_Kauai_Hawaii.html,399,4.0,930,21.9621304,-159.3500361
Marriott's Waiohai Beach Club,https://www.tripadvisor.com/Hotel_Review-g60625-d268659-Reviews-Marriott_s_Waiohai_Beach_Club-Poipu_Kauai_Hawaii.html,799,4.5,1202,21.8751917,-159.4560015
Banyan Harbor Resort,https://www.tripadvisor.com/Hotel_Review-g60623-d226075-Reviews-Banyan_Harbor_Resort-Lihue_Kauai_Hawaii.html,164,4.0,421,21.9585514,-159.3550714
Kauai Beach Villas,https://www.tripadvisor.com/Hotel_Review-g60623-d87334-Reviews-Kauai_Beach_Villas-Lihue_Kauai_Hawaii.html,327,4.0,683,22.0106388,-159.3406231
Marriott's Kauai Lagoons - Kalanipu'u,https://www.tripadvisor.com/Hotel_Review-g60623-d1867453-Reviews-Marriott_s_Kauai_Lagoons_Kalanipu_u-Lihue_Kauai_Hawaii.html,689,4.5,482,21.9613545,-159.3408172
Fern Grotto Inn,https://www.tripadvisor.com/Hotel_Review-g60616-d654603-Reviews-Fern_Grotto_Inn-Kapaa_Kauai_Hawaii.html,433,5.0,600,22.0477003,-159.3375991
Marjorie's Kauai Inn,https://www.tripadvisor.com/Hotel_Review-g60622-d87382-Reviews-Marjorie_s_Kauai_Inn-Lawai_Kauai_Hawaii.html,225,5.0,477,21.9137105,-159.5025866
Princeville Resort,https://www.tripadvisor.com/Hotel_Review-g60626-d111672-Reviews-Princeville_Resort-Princeville_Kauai_Hawaii.html,1215,4.5,3403,22.2210015,-159.4970711
Plantation Hale Suites,https://www.tripadvisor.com/Hotel_Review-g60616-d262763-Reviews-Plantation_Hale_Suites-Kapaa_Kauai_Hawaii.html,169,4.0,902,22.0562958,-159.3256709
Aston at Poipu Kai,https://www.tripadvisor.com/Hotel_Review-g60625-d208989-Reviews-Aston_at_Poipu_Kai-Poipu_Kauai_Hawaii.html,437,4.0,314,21.8755463,-159.445686
Royal Lahaina Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d90119-Reviews-Royal_Lahaina_Resort-Lahaina_Maui_Hawaii.html,365,4.0,5273,20.9318244,-156.6922665
Napili Kai Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d111829-Reviews-Napili_Kai_Beach_Resort-Lahaina_Maui_Hawaii.html,555,4.5,1009,20.9971737,-156.6655587
"The Westin Nanea Ocean Villas, Ka'anapali",https://www.tripadvisor.com/Hotel_Review-g60634-d12344180-Reviews-The_Westin_Nanea_Ocean_Villas_Ka_anapali-Lahaina_Maui_Hawaii.html,439,4.5,1610,20.9421722,-156.6905147
Kaanapali Ocean Inn,https://www.tripadvisor.com/Hotel_Review-g60634-d644484-Reviews-Kaanapali_Ocean_Inn-Lahaina_Maui_Hawaii.html,235,3.0,299,20.931824,-156.692267
Sheraton Maui Resort & Spa,https://www.tripadvisor.com/Hotel_Review-g60634-d114075-Reviews-Sheraton_Maui_Resort_Spa-Lahaina_Maui_Hawaii.html,509,4.0,5030,20.9267279,-156.6947313
Mahina Surf,https://www.tripadvisor.com/Hotel_Review-g60634-d281687-Reviews-Mahina_Surf-Lahaina_Maui_Hawaii.html,249,4.5,168,20.965154,-156.68282
Sands of Kahana,https://www.tripadvisor.com/Hotel_Review-g60634-d87322-Reviews-Sands_of_Kahana-Lahaina_Maui_Hawaii.html,229,4.0,925,20.9699808,-156.6788805
The Gardens at West Maui Hotel,https://www.tripadvisor.com/Hotel_Review-g60634-d2391687-Reviews-The_Gardens_at_West_Maui_Hotel-Lahaina_Maui_Hawaii.html,234,3.5,147,20.9962986,-156.6641297
Kahana Villa Resort,https://www.tripadvisor.com/Hotel_Review-g60634-d622353-Reviews-Kahana_Villa_Resort-Lahaina_Maui_Hawaii.html,229,3.5,204,20.9687172,-156.6799464
Hono Koa,https://www.tripadvisor.com/Hotel_Review-g60634-d781518-Reviews-Hono_Koa-Lahaina_Maui_Hawaii.html,219,3.5,138,20.958396,-156.684656
Days Inn by Wyndham Maui Oceanfront,https://www.tripadvisor.com/Hotel_Review-g60632-d87281-Reviews-Days_Inn_by_Wyndham_Maui_Oceanfront-Kihei_Maui_Hawaii.html,211,3.5,1603,20.7041295,-156.4458763
Maui Beach Vacation Club,https://www.tripadvisor.com/Hotel_Review-g60632-d813188-Reviews-Maui_Beach_Vacation_Club-Kihei_Maui_Hawaii.html,209,3.5,226,20.7702316,-156.4583821
Maui Banyan Vacation Club,https://www.tripadvisor.com/Hotel_Review-g60632-d1469358-Reviews-Maui_Banyan_Vacation_Club-Kihei_Maui_Hawaii.html,299,4.0,230,20.7155315,-156.4441504
Kihei Kai Nani,https://www.tripadvisor.com/Hotel_Review-g60632-d225439-Reviews-Kihei_Kai_Nani-Kihei_Maui_Hawaii.html,275,4.0,297,20.7175523,-156.4450531
Sheraton Kona Resort & Spa at Keauhou Bay,https://www.tripadvisor.com/Hotel_Review-g60872-d293200-Reviews-Sheraton_Kona_Resort_Spa_at_Keauhou_Bay-Kailua_Kona_Island_of_Hawaii_Hawaii.html,329,3.5,3334,19.5586138,-155.9645948
Uncle Billy's Kona Bay Hotel,https://www.tripadvisor.com/Hotel_Review-g60872-d113110-Reviews-Uncle_Billy_s_Kona_Bay_Hotel-Kailua_Kona_Island_of_Hawaii_Hawaii.html,179,3.0,585,19.6380171,-155.9927038
Kona Islander Inn,https://www.tripadvisor.com/Hotel_Review-g60872-d113111-Reviews-Kona_Islander_Inn-Kailua_Kona_Island_of_Hawaii_Hawaii.html,209,3.0,365,19.6363738,-155.9905969
